# Sample Market Data CSV
# Format: Timestamp,Type,Symbol,BidPrice,BidQty,AskPrice,AskQty (for quotes)
# Format: Timestamp,Type,Symbol,Price,Qty (for trades)
# Timestamp can be in nanoseconds or HH:MM:SS.mmm format
Timestamp,Type,Symbol,BidPrice,BidQty,AskPrice,AskQty,Price,Qty
09:30:00.000,Q,IBM,139.95,100,140.05,100,,
09:30:00.100,T,IBM,,,,,140.00,50
09:30:00.200,Q,IBM,139.96,150,140.04,150,,
09:30:00.300,Q,IBM,139.97,200,140.03,175,,
09:30:00.400,T,IBM,,,,,140.02,75
09:30:00.500,Q,IBM,139.98,100,140.02,125,,
09:30:00.600,Q,IBM,139.99,250,140.01,200,,
09:30:00.700,T,IBM,,,,,140.01,100
09:30:00.800,Q,IBM,140.00,150,140.02,150,,
09:30:00.900,Q,IBM,140.01,200,140.03,100,,
09:30:01.000,T,IBM,,,,,140.02,80
09:30:01.100,Q,IBM,140.02,175,140.04,125,,
09:30:01.200,Q,IBM,140.01,100,140.03,200,,
09:30:01.300,T,IBM,,,,,140.03,60
09:30:01.400,Q,IBM,140.00,150,140.02,150,,
09:30:01.500,Q,IBM,139.99,200,140.01,175,,
09:30:01.600,T,IBM,,,,,140.00,90
09:30:01.700,Q,IBM,139.98,225,140.00,100,,
09:30:01.800,Q,IBM,139.97,150,139.99,150,,
09:30:01.900,T,IBM,,,,,139.98,110
09:30:02.000,Q,IBM,139.96,100,139.98,200,,
